,brand,processor,screen_size,ROM,RAM,display_size,num_rear_camera,num_front_camera,battery_capacity,ratings,sales_price
0,0,5,4,0.25925925925925924,2,6.0,1,1,0.0,4.5,32999
1,0,0,2,0.25925925925925924,4,6.0,2,1,0.07874999999999999,4.5,54499
2,0,5,4,0.25925925925925924,2,6.0,1,1,0.0,4.5,32999
3,0,6,1,0.25925925925925924,3,6.1,1,1,0.11050000000000004,4.550000000000001,42999
4,0,0,1,0.5555555555555556,4,6.1,2,1,0.07874999999999999,4.550000000000001,54499
5,0,0,1,0.25925925925925924,4,6.1,2,1,0.07874999999999999,4.550000000000001,54499
6,0,0,1,0.5555555555555556,4,6.1,2,1,0.07874999999999999,4.550000000000001,54499
7,0,0,1,0.25925925925925924,4,6.1,2,1,0.07874999999999999,4.550000000000001,54499
8,0,0,1,0.5555555555555556,4,6.1,2,1,0.07874999999999999,4.550000000000001,54499
9,0,0,1,0.5555555555555556,4,6.1,2,1,0.07874999999999999,4.550000000000001,54499
10,0,0,2,0.25925925925925924,4,6.0,2,1,0.07874999999999999,4.5,54499
11,0,0,1,0.5555555555555556,4,6.1,2,1,0.07874999999999999,4.550000000000001,54499
12,0,0,2,0.5555555555555556,4,6.0,2,1,0.07874999999999999,4.5,54499
13,0,0,1,1.0,4,6.1,2,1,0.07874999999999999,4.550000000000001,54499
14,0,0,2,0.5555555555555556,4,6.0,2,1,0.07874999999999999,4.5,54499
15,0,5,1,0.5555555555555556,3,6.1,1,1,0.11050000000000004,4.550000000000001,47999
16,0,0,1,0.25925925925925924,4,6.1,2,1,0.07874999999999999,4.550000000000001,54499
17,0,0,1,0.25925925925925924,4,6.1,2,1,0.07874999999999999,4.550000000000001,54499
18,0,0,2,0.25925925925925924,4,6.0,2,1,0.07874999999999999,4.5,54499
19,0,0,1,1.0,4,6.1,2,1,0.07874999999999999,4.550000000000001,54499
20,0,0,2,1.0,4,6.0,2,1,0.07874999999999999,4.5,54499
21,0,5,1,0.5555555555555556,3,6.1,1,1,0.11050000000000004,4.550000000000001,47999
22,0,0,1,1.0,4,6.1,2,1,0.07874999999999999,4.550000000000001,54499
23,0,0,1,0.25925925925925924,4,6.1,2,1,0.07874999999999999,4.550000000000001,54499
24,0,6,1,0.5555555555555556,3,6.1,1,1,0.11050000000000004,4.550000000000001,47999
25,0,5,1,0.5555555555555556,3,6.1,1,1,0.11050000000000004,4.550000000000001,47999
26,0,0,1,1.0,4,6.1,2,1,0.07874999999999999,4.550000000000001,54499
27,0,5,1,0.25925925925925924,3,6.1,1,1,0.11050000000000004,4.550000000000001,42999
28,0,0,2,0.25925925925925924,4,6.0,2,1,0.07874999999999999,4.5,54499
29,0,5,1,0.5555555555555556,3,6.1,1,1,0.11050000000000004,4.550000000000001,47999
30,0,0,2,0.25925925925925924,4,6.0,2,1,0.07874999999999999,4.5,54499
31,0,0,2,0.5555555555555556,4,6.0,2,1,0.07874999999999999,4.5,54499
32,0,0,2,1.0,4,6.0,2,1,0.07874999999999999,4.5,54499
33,0,6,1,0.25925925925925924,3,6.1,1,1,0.11050000000000004,4.550000000000001,42999
34,0,0,2,1.0,4,6.0,2,1,0.07874999999999999,4.5,54499
35,0,5,4,0.25925925925925924,2,6.0,1,1,0.0,4.5,32999
36,0,0,2,1.0,4,6.0,2,1,0.07874999999999999,4.5,54499
37,0,0,2,1.0,4,6.0,2,1,0.07874999999999999,4.5,54499
38,0,0,2,0.5555555555555556,4,6.0,2,1,0.07874999999999999,4.5,54499
39,0,0,2,1.0,4,6.0,2,1,0.07874999999999999,4.5,54499
40,0,0,2,0.5555555555555556,4,6.0,2,1,0.07874999999999999,4.5,54499
41,0,0,1,1.0,4,6.1,2,1,0.07874999999999999,4.550000000000001,54499
42,0,6,4,0.25925925925925924,2,6.0,1,1,0.0,4.5,38999
43,0,6,2,0.1111111111111111,2,6.0,2,1,0.0,4.5,36999
